web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_link,hotelLinkHref
"1576948932-66145","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 4
									4","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=75","Mon Port Hotel & Spa

Si apre in una nuova finestra","https://www.booking.com/hotel/es/monport.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=87&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1576948924&srpvid=01657a1eec6400cb&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948908-66050","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 15
									15","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=350","Platjador

Si apre in una nuova finestra","https://www.booking.com/hotel/es/platjador.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=367&hpos=17&no_rooms=1&sr_order=popularity&srepoch=1576948901&srpvid=7bbc7a121fcf0102&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948912-66079","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 7
									7","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=150","Universal Aquamarin & Aquavilla

Si apre in una nuova finestra","https://www.booking.com/hotel/es/aquavilla.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=171&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1576948907&srpvid=7bbc7a1522db00e3&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948937-66165","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 3
									3","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=50","La Pitiusa Agroturismo

Si apre in una nuova finestra","https://www.booking.com/hotel/es/la-pitiusa.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=57&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1576948930&srpvid=01657a21e0cc0102&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948932-66134","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 4
									4","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=75","Ville


Can Vich

Si apre in una nuova finestra","https://www.booking.com/hotel/es/can-vich-san-carlos-santra-eulalia-del-rio-ibiza.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=76&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1576948924&srpvid=01657a1eec6400cb&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948908-66039","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 15
									15","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=350","Appartamento


Cofradia Penthouse

Si apre in una nuova finestra","https://www.booking.com/hotel/es/cofradia-penthouse.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=356&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1576948901&srpvid=7bbc7a121fcf0102&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948949-66215","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 1
									1","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25","Appartamento


Studio Buenovista

Si apre in una nuova finestra","https://www.booking.com/hotel/es/studio-buenovista.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1576948942&srpvid=01657a2602b0000e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948920-66091","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 6
									6","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=125","Hotel Indalo Park

Si apre in una nuova finestra","https://www.booking.com/hotel/es/indalo-park.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=133&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1576948912&srpvid=87de7a17350400db&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948937-66183","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 3
									3","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=50","Hotel Moré

Si apre in una nuova finestra","https://www.booking.com/hotel/es/more.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=75&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1576948930&srpvid=01657a21e0cc0102&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948920-66088","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 6
									6","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=125","Villa


Villa Paradise

Si apre in una nuova finestra","https://www.booking.com/hotel/es/villa-paradise-sant-josep.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=130&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1576948912&srpvid=87de7a17350400db&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948926-66117","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 5
									5","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=100","Hotel Flamingo

Si apre in una nuova finestra","https://www.booking.com/hotel/es/flamingo-ampolla.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=109&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1576948919&srpvid=27a27a1b092700c5&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948937-66168","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 3
									3","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=50","Valentin Playa de Muro

Si apre in una nuova finestra","https://www.booking.com/hotel/es/blue-bay-resort.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=60&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1576948930&srpvid=01657a21e0cc0102&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"1576948912-66080","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&sb=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.it.html%3Faid%3D304142%3Blabel%3Dgen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB%3Bsid%3D9267fc72e7a76cccd2705d69ebe88424%3Bsb_price_type%3Dtotal%3Bsrpvid%3D2c6a9ab6520300ce%26%3B&sr_autoscroll=1&ss=spagna&is_ski_area=0&checkin_year=&checkin_month=&checkout_year=&checkout_month=&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1","Pagina 7
									7","https://www.booking.com/searchresults.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&tmpl=searchresults&class_interval=1&dest_id=197&dest_type=country&dtdisc=0&from_sf=1&group_adults=2&group_children=0&inac=0&index_postcard=0&label_click=undef&no_rooms=1&postcard=0&room1=A%2CA&sb_price_type=total&shw_aparth=1&slp_r_match=0&src=index&src_elem=sb&srpvid=7bbc7a0d1b59010d&ss=spagna&ss_all=0&ssb=empty&sshis=0&top_ufis=1&rows=25&offset=150","Hotel Admiral Casino & Lodge

Si apre in una nuova finestra","https://www.booking.com/hotel/es/admiral-lodge.it.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaHGIAQGYARS4ARfIAQzYAQPoAQGIAgGoAgO4AoG93u8FwAIB&sid=9267fc72e7a76cccd2705d69ebe88424&dest_id=197&dest_type=country&group_adults=2&group_children=0&hapos=172&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1576948907&srpvid=7bbc7a1522db00e3&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
